A,B,Source,Note,Text
Benjamin Alarie,Build Canada,https://www.buildcanada.com/en/memos,,
Benjamin Alarie,Schwartz Reisman Institute for Technology and Society,https://jackmanlaw.utoronto.ca/people/benjamin-alarie,,
Benjamin Alarie,Vector Institute,https://jackmanlaw.utoronto.ca/people/benjamin-alarie,,
Boris Wertz,Build Canada,https://techcouver.com/2025/09/25/build-canada-taps-hunter-scharfe-to-lead-vancouver/,,
Boris Wertz,Version One Ventures,https://techcouver.com/2025/09/25/build-canada-taps-hunter-scharfe-to-lead-vancouver/,,
Brad Carr,Build Canada,https://www.buildcanada.com/en/memos,,
Brad Carr,Mattamy Homes,https://www.buildcanada.com/en/about,,
Brendan Samek,Build Canada,https://www.buildcanada.com/en/about,,
Brian Felesky,Canada Strong and Proud/Proud to Be a Canadian,,,Brian Felesky funded Canada Strong and Proud/Proud to Be a Canadian in 2023.
Brian Felesky,Suncor,,,
Brian Lee Crowley,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Brian Lee Crowley,Macdonald Laurier Institute,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Brice Scheschuk,Build Canada,,,
Brice Scheschuk,Globalive,,,
Brice Scheschuk,WIND Mobile,,,
Build Canada,Canada Spends,https://www.buildcanada.com/en/projects,,
Build Toronto,Build Canada,https://buildtoronto.com/about,,
Canada Strong and Free Network,Alberta Proud,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Canada Strong and Proud/Proud to Be a Canadian,https://www.elections.ca/fin/oth/thi/advert/tp43/TP-0024_ecr.pdf,Donation,"Canada Strong and Free has been a significant backer of Canada Strong and Proud (aka Proud to be a Canadian), donating $240,500 in 2023."
Canada Strong and Free Network,Fierement Nouveau-Brunswick,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Manitoba Strong,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Nationbuilder,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Newfoundland Proud,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 and 2021 elections.
Canada Strong and Free Network,Nova Scotia Proud,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 and 2021 elections.
Canada Strong and Free Network,Ontario Strong,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Proudly New Brunswick,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 and 2021 elections.
Canada Strong and Free Network,Quebec Fier,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 and 2021 elections.
Canada Strong and Free Network,Quebec Proud,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,Saskatchewan Strong,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Free Network,West Coast Proud,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0022_due7.pdf,Donation,Canada Strong and Free network supported this Facebook front group in the 2025 election.
Canada Strong and Proud/Proud to Be a Canadian,Canada Proud,,,
Canada Strong and Proud/Proud to Be a Canadian,Canada Strong and Free Network,,,
Canadian Constititution Foundation,Atlas Network,https://www.desmog.com/canadian-constitution-foundation/,Member,The Canadian Consitution Foundation is a member of the Atlas network.
Canadian Natural Resources,Indian Resource Council,https://www.desmog.com/2024/03/11/fossil-fuel-ad-ban-critic-stephen-buffalo-runs-group-that-got-450k-from-oil-company-indian-resource-council/,Donation,
Canadian Natural Resources,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,
Candice Malcolm,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Candice Malcolm,Conservative Party of Canada,,,
Candice Malcolm,Jason Kenney,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Candice Malcolm,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Candice Malcolm,Kaz Nejatian,,,
Candice Malcolm,Wildrose Party,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Capital Power,Apollo Global Management,https://www.cbc.ca/news/canada/edmonton/capital-power-data-centre-deal-9.7010688,Business partnership,
Caylan Ford,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Cenovus,Canada Action,https://www.desmog.com/2025/01/30/cenovus-funded-grassroots-groups-that-oppose-climate-laws-document-reveals/,Donation,
Cenovus,Indigenous Resource Network,https://www.desmog.com/2023/03/15/indigenous-group-fighting-emissions-cap-quietly-supported-by-top-canadian-oil-company/,Donation,
Cenovus,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,
Cenovus Energy,MEG Energy Corporation,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Chanel Pfahl,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Charles Koch,Atlas Network,,,
Charles Koch,Fraser Institute,https://www.fraserinstitute.org/sites/default/files/2025-05/fi-2024-annual-report_0.pdf,Donation,Fraser was supported by the Charles Koch Institute in 2024 and 2023.
Chris Elston,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Civitas Canada,Albany Club,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Clayton Zekelman,Zekelman Industries,https://en.wikipedia.org/wiki/Zekelman_Industries,,
Cosmin Dzsurdzsa,Russia Insider,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Cosmin Dzsurdzsa,The Post Millennial,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Daniel Debow,AI Strategy Task Force,https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,Member,
Daniel Debow,Borrowell,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Borrowell,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Build Canada,https://www.buildcanada.com/en/about,,
Daniel Debow,Build Toronto,https://buildtoronto.com/about,,
Daniel Debow,Goldman Sachs,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Helpful,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Loblaw Companies,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Rypple,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Shopify,https://www.buildcanada.com/en/about,,
Daniel Debow,Sullivan & Cromwell,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Workbrain,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Eberhard,Build Canada,https://www.buildcanada.com/en/memos,,
Daniel Eberhard,Koho,https://www.buildcanada.com/en/about,,
Danielle Smith,Canadian Energy Centre,,,
Danielle Smith,True North Media,,,
Danielle Smith,United Conservative Party,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Danielle Smith,Wildrose Party,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
David Parker,Rachel Parker,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
David Parker,Take Back Alberta,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
David Stein,Rypple,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Diane Gutiw,AI Strategy Task Force,https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,Member,
Donald Trump,America First Action PAC,https://www.nytimes.com/2020/01/25/us/politics/trump-ukraine-donors.html,,
Doug Ford,Ontario Proud,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Drew Stevens,Build Canada,https://www.buildcanada.com/en/about,,
Eliot Pence,Anduril Industries,https://www.tofinocap.com/who,,
Eliot Pence,Build Canada,https://www.buildcanada.com/en/memos,,
Eliot Pence,Council on Foreign Relations,https://www.tofinocap.com/who,,
Eliot Pence,McLarty Associates,https://www.tofinocap.com/who,,
Eliot Pence,Tofino Capital,https://www.buildcanada.com/en/about,,
Elon Musk,Zip2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Eric Lombardi,Build Canada,https://buildcanada.substack.com/p/hammer-to-fall,,
Eric Lombardi,Build Toronto,https://buildtoronto.com/about,,
Eric Lombardi,Build Toronto,https://buildtoronto.com/about,,
Eric Lombardi,Electric Mind,https://www.linkedin.com/in/ericlombardi/?originalSubdomain=ca,,
Eric Lombardi,More Neighbours,https://www.linkedin.com/in/ericlombardi/?originalSubdomain=ca,,
Evan Solomon,AI Strategy Task Force,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Evan Solomon,Liberal Party of Canada,https://en.wikipedia.org/wiki/Evan_Solomon,,
Ezra Levant/Rebel News,Canada Strong and Free Network,,,
Fairfax Financial Holdings,Waterous Energy Fund,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Farhan Thawar,Build Toronto,https://buildtoronto.com/memos,,
Farhan Thawar,Helpful,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Farhan Thawar,Shopify,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Fiona McKean,Build Canada,https://www.buildcanada.com/en/about,,
Fiona McKean,Elevate,https://elevate.ca/speakers/fiona-mckean/,,
Fiona McKean,Opinicon,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
Fiona McKean,Thistledown,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
Fiona McKean,Tobias Lutke,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
Francois Chadwick,Cohere,https://en.wikipedia.org/wiki/Cohere,,
Fraser Institute,Atlas Network,,,The Fraser Institute is a member of the Atlas network.
Friends of Free Enterprise Canada,Pierre Poilievre,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0084_due7.pdf,Advertising,Friends of Free Enterprise Canada paid for ads supporting Pierre Poilivere in major Canadian newspapers.
Frontier Centre for Public Policy,Atlas Network,,,The Frontier Centre for Public Policy is a member of the Atlas network.
George Babu,Aire Labs,https://www.airelabs.com/team,,
George Babu,Build Canada,https://www.buildcanada.com/en/memos,,
Gilbert Kaplan,Zekelman Industries,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Gwyn Morgan,Canada Strong and Free Network,https://www.desmog.com/canada-strong-and-free-network/,Board Member,
Gwyn Morgan,Fraser Institute,https://www.fraserinstitute.org/about-us/team,,
Gwyn Morgan,Fraser Institute,https://www.fraserinstitute.org/sites/default/files/2024-10/fi-2023-annual-report_1.pdf,Board of Directors,Gwyn Morgan was on the board of directors at the Fraser Institute as recently as 2023.
Gwyn Morgan,Friends of Free Enterprise Canada,,Financed,Morgan backed Pierre Poilievre in the 2025 election.
Gwyn Morgan,Gwyn Morgan and Patricia Trottier Foundation,,,
Gwyn Morgan,Juno News (Formerly True North),https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Gwyn Morgan,National Post,https://financialpost.com/tag/gwyn-morgan/,Contributor,"Gwyn Morgan is regular contributor to Financial Post/National Post, including this column calling for more pipelines: https://epaper.nationalpost.com/article/281878714117117"
Gwyn Morgan,Pierre Poilievre,https://www.elections.ca/content.aspx?section=fin&dir=cont&document=index&lang=e,Donation,Morgan donated to Polievre’s campaign and has donated to Conservatives nearly 90 times in his life.
Gwyn Morgan and Patricia Trottier Foundation,Canada Strong and Free Network,,Donation,
Gwyn Morgan and Patricia Trottier Foundation,Canadian Constititution Foundation,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $100,000 CAD to the Canadian Constititution Foundation."
Gwyn Morgan and Patricia Trottier Foundation,Frontier Centre for Public Policy,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Frontier Centre for Public Policy"
Gwyn Morgan and Patricia Trottier Foundation,Institute Économique de Montréal,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Institute Économique de Montréal."
Gwyn Morgan and Patricia Trottier Foundation,Institute for Liberal Studies,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Institute for Liberal Studies."
Gwyn Morgan and Patricia Trottier Foundation,Justice Centre for Constitutional Freedom,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $75,000 CAD to the Justice Centre for Constitutional Freedom."
Gwyn Morgan and Patricia Trottier Foundation,Second Street,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $200,000 CAD to Second Street."
Gwyn Morgan and Patricia Trottier Foundation,True North Media,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,Donation,"Gwyn Morgan's foundation donated $300,000 to True North, who covered the 2025 campaign without naming Morgan, a possible violation of charitable laws that prohibit direct partisan activity."
Harley Finkelstein,Build Canada,https://www.buildcanada.com/en/memos,,
Harley Finkelstein,C100,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,CBC,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,Felicis Ventures,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,Shopify,https://en.wikipedia.org/wiki/Harley_Finkelstein,,
Harrison Faulkner,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Harrison Faulkner,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Harrison Faulkner,Ryerson Conservatives,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Hunter Scharfe,Build Canada,https://www.buildcanada.com/en/about,,
Ian Todd,Conservative Party of Canada,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Maple Leaf Strategies,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Pierre Poilievre,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Stockwell Day,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Imperial Oil,Fraser Institute,,Donation,Fraser Institute has received regular donations from Imperial Oil.
Imperial Oil,Macdonald Laurier Institute,https://www.desmog.com/2022/07/26/climate-leader-netflix-donated-to-rightwing-think-tank/,Donation,Imperial has donated regularly to the Macdonald Laurier Institute
Imperial Oil,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,Imperial Oil is a member of the Pathways Alliance.
Institute Économique de Montréal,Atlas Network,,Member,The Institute Économique de Montréal is a member of the Atlas network.
Institute for Liberal Studies,Atlas Network,,Member,The Institute for Liberal Studies is a member of the Atlas network.
Ivan Zhang,Build Canada,https://www.buildcanada.com/en/memos,,
Ivan Zhang,Cohere,https://www.buildcanada.com/en/memos,,
Ivan Zhang,FOR.ai,https://www.inovia.vc/founders/company-founders/ivan-zhang/,,
Jamie McDonald,A2X,https://www.buildcanada.com/en/memos,,
Jamie McDonald,Build Canada,https://www.buildcanada.com/en/memos,,
Jamie McDonald,Build Toronto,https://buildtoronto.com/memos,,
Jamie McDonald,Expedia,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Jamie McDonald,Microsoft,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Jamie McDonald,Xero,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Janet Waterous,Adam Waterous,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Janet Waterous,Conservative Party of Canada,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Janet Waterous,Pierre Poilievre,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Jason Kenney,ATCO,https://en.wikipedia.org/wiki/Jason_Kenney,,
Jason Kenney,Conservative Party of Canada,https://en.wikipedia.org/wiki/Jason_Kenney,,
Jason Kenney,United Conservative Party,https://en.wikipedia.org/wiki/Jason_Kenney,,
Jeff Adamson,Build Canada,https://www.buildcanada.com/en/memos,,
Jeff Adamson,NEO Financial,https://www.buildcanada.com/en/memos,,
Jeff Adamson,SkipTheDishes,https://theorg.com/org/neo-financial/org-chart/jeff-adamson,,
Jeff Ballingall,Conservative Party of Canada,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Jeff Ballingall,Mobilize Media,https://www.cbc.ca/news/politics/poilievre-ballingall-conservative-leadership-canada-proud-1.6433088,,
Jeff Ballingall,Ontario Proud,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Jeff Ballingall,Sun News,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Jeff Ballingall,The Post Millennial,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Jennifer Mazzarolo,Build Canada,https://www.buildcanada.com/en/about,,
Jennifer Mazzarolo,Maverick Consulting,https://www.maverickconsulting.ca/who-is-maverick,,
Jesse Lee,Build Canada,https://www.buildcanada.com/en/about,,
Joelle Pineau,AI Strategy Task Force,https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,Member,
Joelle Pineau,AI Strategy Task Force,https://betakit.com/minister-evan-solomon-reveals-canadas-ai-task-force/,,
Joelle Pineau,Cohere,https://en.wikipedia.org/wiki/Cohere,,
Josh Alexander,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Josh Alexander,Save Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Josh Domingues,Build Toronto,https://buildtoronto.com/memos,,
Josh Domingues,Flashfood,https://buildtoronto.com/memos,,
Julie Di Lorenzo,Build Canada,https://www.buildcanada.com/en/memos,,
Julie Di Lorenzo,Mirabella Development,https://www.buildcanada.com/en/memos,,
Justice Centre for Constitutional Freedom,Atlas Network,,Member,The Justice Centre for Constitutional Freedom is a member of the Atlas network.
Kaz Nejatian,Conservative Party of Canada,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Kaz Nejatian,Jason Kenney,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Kaz Nejatian,Juno News (Formerly True North),https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Kaz Nejatian,Opendoor,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Kaz Nejatian,Shopify,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Keean Bexte,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Liberty Coalition Canada,Save Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Lindsay Shepherd,Juno News (Formerly True North),https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Lucan Way,Civitas Canada,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Lucy Hargreaves,Build Canada,https://www.buildcanada.com/en/memos,,
